
Naziv:      Skijacke rukavice   Masa:                   3.430
Proizvodjac:LOKO TMX            Proizvedeno:     2005. godine
Materijal:drugi_materijalAdekvatnost:                  -74.41

Naziv:      Tehnicka olovka RT2 Masa:                   0.530
Proizvodjac:ACME                Proizvedeno:     2014. godine
Materijal:metal       Adekvatnost:                   33.18

Naziv:      Tehnicka olovka RT3 Masa:                   0.510
Proizvodjac:ACME                Proizvedeno:     2016. godine
Materijal:metal       Adekvatnost:                   30.74

Naziv:      Kapa za sneg        Masa:                   2.100
Proizvodjac:ACME                Proizvedeno:     1993. godine
Materijal:drugi_materijalAdekvatnost:                  -73.75

Naziv:      Hemijksa olovka XF  Masa:                   0.510
Proizvodjac:LOKO TMX            Proizvedeno:     1923. godine
Materijal:metal       Adekvatnost:                  114.81

Naziv:      Hemijksa olovka 334 Masa:                   1.050
Proizvodjac:LOKO TMX            Proizvedeno:     1999. godine
Materijal:metal       Adekvatnost:                   66.15

Naziv:      Hemijksa olovka MG1 Masa:                   0.220
Proizvodjac:LOKO TMX            Proizvedeno:     2016. godine
Materijal:plastika    Adekvatnost:                  227.82

Naziv:      Hemijksa olovka 900 Masa:                   1.030
Proizvodjac:ACME                Proizvedeno:     2011. godine
Materijal:drugi_materijalAdekvatnost:                  -35.34
